day,ts,h_0,h_1,h_2,h_3,h_4,h_5,h_6,h_7,h_8,h_9,h_10,h_11,h_12,h_13,h_14,h_15,h_16,h_17,h_18,h_19,h_20,h_21,h_22,h_23
2016-04-12,1460419200,0.18986673703654836,0.1546378150151735,0.13497822931785197,0.12864493996569468,0.13774904340942076,0.16070721731099089,0.21691516031138672,0.31554294761841933,0.3518274178651537,0.3497822931785196,0.34786911202005544,0.341931653252408,0.33058450982979287,0.31514711703390946,0.3032721994986146,0.2920569996041694,0.2700224303997889,0.2594669481461934,0.2474600870827286,0.25451906583982054,0.2590711175616836,0.31831376170998815,0.323261644016361,0.27589391740335134
2016-04-13,1460505600,0.22516163082200819,0.20279720279720279,0.19197783348726746,0.18656814883229977,0.20391872278664733,0.22384219554030874,0.29133131019923475,0.3912125610238818,0.42855257949597575,0.39728196331969917,0.3707613141575406,0.34984826494260457,0.3230637287241061,0.3083520253331574,0.29291463253727407,0.27642169151603113,0.2570919646391345,0.25075867528697715,0.24429344240664996,0.2435017812376303,0.2514183929278269,0.30940757355851695,0.3081541100409025,0.2525399129172714
2016-04-14,1460592000,0.20154373927958832,0.1739015701279852,0.16459955139200422,0.16710647842723314,0.17937722654703786,0.2014117957514184,0.26408497163214145,0.3706953423934556,0.40480274442538594,0.38250428816466553,0.3555878084179971,0.330188679245283,0.318577648766328,0.3033381712626996,0.2967409948542024,0.28638342789286186,0.26170998812508245,0.26527246338567095,0.2509565905792321,0.2444253859348199,0.24877952236442802,0.29990763953028104,0.29146325372740467,0.24383164005805516
2016-04-15,1460678400,0.1750890618815147,0.14480802216651273,0.1293046576065444,0.1258081541100409,0.13042617759598893,0.15008576329331047,0.216321414434622,0.3118485288296609,0.3460878743897612,0.3253727404670801,0.311650613537406,0.297664599551392,0.28466816202665257,0.276751550336456,0.2689668821744293,0.2602586093152131,0.24614065180102915,0.23980736244887188,0.22285261907903417,0.2130228262303734,0.19923472753661434,0.2304393719488059,0.22351233671988388,0.1828077582794564
2016-04-16,1460764800,0.13220741522628315,0.08358622509565906,0.06755508642301095,0.05416281831376171,0.05224963715529753,0.06788494524343582,0.08477371684918855,0.12897479878611953,0.1567489114658926,0.18458899590975061,0.17785987597308353,0.18227998416677663,0.1788494524343581,0.16644676078638343,0.15615516558912784,0.15338435149755905,0.16222456788494524,0.16618287373004353,0.17522100540968466,0.172120332497691,0.16136693495184062,0.18696397941680962,0.18524871355060035,0.1423670668953688
2016-04-17,1460851200,0.08827022034569204,0.049017020715133926,0.032985882042485815,0.02097902097902098,0.015107533975458503,0.028169943264282887,0.04578440427497031,0.06940229581739016,0.09183269560628052,0.12824910938118486,0.14428024805383297,0.14447816334608787,0.14434621981791793,0.1525926903285394,0.15655099617363769,0.16426969257157936,0.1678981395962528,0.19105422879007786,0.2064916215859612,0.21592558385011215,0.21757487795223646,0.25181422351233673,0.2363108589523684,0.17832167832167833
2016-04-18,1460937600,0.1200026388705634,0.07230505343712891,0.05383295949333685,0.05370101596516691,0.046773980736244884,0.06801688877160575,0.1308879799445837,0.21797070853674627,0.26236970576593216,0.2809737432378942,0.2918590843119145,0.30228262303734,0.3110568676606412,0.3307164533579628,0.358226678981396,0.36733078242512207,0.3747855917667238,0.37379601530544926,0.3761050270484233,0.3660773189075076,0.3519593613933237,0.36898007652724635,0.3452962132207415,0.26692175748779523
2016-04-19,1461024000,0.1839952500329859,0.12805119408892993,0.09737432378941813,0.08107929806043014,0.07223908167304394,0.08688481329990765,0.1362976645995514,0.21783876500857632,0.2543871223116506,0.26850507982583455,0.27371684918854733,0.28842855257949596,0.2987861195408365,0.31336587940361527,0.3200290275761974,0.3357962791925056,0.33718168623829003,0.3322997756960021,0.32312970048819106,0.3212165193297269,0.3033381712626996,0.3334872674495316,0.3101332629634516,0.23908167304393718
2016-04-20,1461110400,0.16552315608919382,0.12290539649030215,0.0823327615780446,0.07250296872938382,0.06498218762369706,0.08180498746536483,0.12871091172977966,0.21618947090645205,0.2584113999208339,0.2669877292518802,0.27530017152658665,0.288362580815411,0.28849452434358097,0.3076923076923077,0.3171922417205436,0.325570655759335,0.32939701807626337,0.3259005145797599,0.3283414698509038,0.3118485288296609,0.3045256630162291,0.32827549808681883,0.30591107006201346,0.24402955535031007
2016-04-21,1461196800,0.16888771605752737,0.11769362712758939,0.08648898271539782,0.07586752869771737,0.07058978757091965,0.08167304393719488,0.1341865681488323,0.2153978097374324,0.25570655759335004,0.2712099221533184,0.2862514843646919,0.2970048819105423,0.29951180894577123,0.2923868584245943,0.3071645335796279,0.3086818841535823,0.2989180630690065,0.3027444253859348,0.29291463253727407,0.2824910938118485,0.28268900910410344,0.30993534767119674,0.2921229713682544,0.2250956590579232
